service_id,region,strategy
105,ap-southeast-1,control
105,ap-northeast-1,control
105,us-west-2,control
106,us-west-2,control
106,eu-west-1,control
107,ap-southeast-1,control
107,eu-west-1,control
107,us-west-2,control
108,ap-southeast-1,control
108,ap-northeast-1,control
109,us-west-2,control
109,eu-west-1,control
110,us-west-2,control
110,eu-west-1,control
111,eu-west-1,control
111,us-west-2,control
112,us-west-2,control
112,us-east-1,control
113,us-west-2,control
113,ap-northeast-1,control
113,us-east-1,control
114,ap-northeast-1,control
114,ap-southeast-1,control
114,us-west-2,control
114,us-east-1,control
115,us-east-1,control
115,eu-west-1,control
116,ap-southeast-1,control
116,eu-west-1,control
117,ap-southeast-1,control
117,us-west-2,control
118,ap-southeast-1,control
118,ap-northeast-1,control
118,eu-west-1,control
118,us-east-1,control
119,eu-west-1,control
119,ap-northeast-1,control
119,ap-southeast-1,control
119,us-west-2,control
120,us-east-1,control
120,ap-southeast-1,control
120,ap-northeast-1,control
120,eu-west-1,control
121,ap-northeast-1,control
121,us-west-2,control
121,us-east-1,control
122,eu-west-1,control
122,ap-northeast-1,control
122,ap-southeast-1,control
122,us-west-2,control
123,eu-west-1,control
123,us-east-1,control
123,ap-northeast-1,control
124,us-west-2,control
124,us-east-1,control
125,ap-southeast-1,control
125,us-west-2,control
125,us-east-1,control
126,us-west-2,control
126,us-east-1,control
126,ap-northeast-1,control
127,us-west-2,control
127,ap-northeast-1,control
128,ap-northeast-1,control
128,eu-west-1,control
129,us-west-2,control
129,eu-west-1,control
129,ap-southeast-1,control
130,ap-southeast-1,control
130,us-west-2,control
130,us-east-1,control
130,ap-northeast-1,control
131,eu-west-1,control
131,us-west-2,control
131,us-east-1,control
131,ap-northeast-1,control
132,ap-northeast-1,control
132,ap-southeast-1,control
132,eu-west-1,control
133,us-west-2,control
133,ap-northeast-1,control
134,ap-southeast-1,control
134,us-west-2,control
135,us-east-1,control
135,eu-west-1,control
136,us-west-2,control
136,eu-west-1,control
136,ap-southeast-1,control
137,ap-southeast-1,control
137,us-east-1,control
137,ap-northeast-1,control
137,eu-west-1,control
138,ap-northeast-1,control
138,us-east-1,control
139,ap-northeast-1,control
139,us-east-1,control
140,us-west-2,control
140,us-east-1,control
140,ap-southeast-1,control
141,us-west-2,control
141,us-east-1,control
141,ap-southeast-1,control
142,eu-west-1,control
142,ap-southeast-1,control
142,ap-northeast-1,control
143,eu-west-1,control
143,us-east-1,control
143,ap-northeast-1,control
143,ap-southeast-1,control
144,us-east-1,control
144,us-west-2,control
144,ap-northeast-1,control
145,us-east-1,control
145,ap-southeast-1,control
146,ap-northeast-1,control
146,us-west-2,control
146,ap-southeast-1,control
147,us-east-1,control
147,ap-northeast-1,control
148,ap-southeast-1,control
148,us-east-1,control
148,ap-northeast-1,control
149,us-east-1,control
149,us-west-2,control
149,ap-northeast-1,control
150,ap-southeast-1,control
150,us-east-1,control
150,us-west-2,control
150,eu-west-1,control
